case,ERQA,LPIPS,MDTVSFA,MS-SSIM,corrected_ERQA,corrected_LPIPS,corrected_MDTVSFA,corrected_MS-SSIM,SI,TI,bitrate,mean_colorfulness,std_colorfulness,subjective
aomenc@child@BasicVSR@0.459,0.4944101351244145,0.24466806578947373,0.52019763,0.9644591212272644,0.2444413817137418,0.37344376365681164,0.2571909805397002,0.47683836444794586,0.01128343621399177,0.5934244224245432,0.269,10.601520481769922,4.883453067579019,1.2311238289011666
aomenc@child@BasicVSR@0.865,0.5323870049464775,0.22963963157894735,0.53290313,0.9693421721458435,0.28343592303588067,0.4101298492731492,0.28371070130730336,0.5160651757970385,0.011586934156378601,0.5977247502774695,0.287,10.680689350515355,4.921995331491453,1.5917724572082004
aomenc@child@BasicVSR@1.456,0.5579989393571464,0.22232051315789475,0.5522299,0.97197425365448,0.31136281632370033,0.43394432881770467,0.3081436984813031,0.5423606026216538,0.011658950617283951,0.6095949961718639,0.293,10.635424319152925,4.898792999355285,1.8932921881151836
aomenc@child@RBPN@0.459,0.49378685653678916,0.2427601315789473,0.5308381,0.9647577404975891,0.2438254596884836,0.37391509427196346,0.2621208767289617,0.4763846919998399,0.011162551440329217,0.5931417728381675,0.271,10.830443792502999,4.543941883175785,1.1941805078707761
aomenc@child@RBPN@0.865,0.5377320052578858,0.22604977631578949,0.53386897,0.9696722626686096,0.2891557094786669,0.41617780575149976,0.2870784317830621,0.5214238102477428,0.011550925925925926,0.6036378312179915,0.285,10.910365256652671,4.5471144531037035,1.6284762234068082
aomenc@child@RBPN@1.456,0.5671526420036099,0.21897286842105262,0.5413954,0.9722684621810913,0.32166211933167493,0.4429616011515011,0.30705383147860116,0.5514246270627928,0.011702674897119342,0.578974358974359,0.29,10.867492673307375,4.5458272536987785,2.064742366209702
aomenc@child@Real-ESRGAN@0.459,0.5100653349071697,0.24088182894736843,0.5884086,0.9589383602142334,0.26016664587396315,0.38719986415207863,0.3001268296212588,0.48912121585800505,0.011294581618655692,0.6870350690754516,0.303,10.74096525113937,4.630586794578625,0.37260494589432736
aomenc@child@Real-ESRGAN@0.865,0.524805846104708,0.2335137236842105,0.58832276,0.9629780054092407,0.2754211761056785,0.40225647876955495,0.308755223844457,0.5053764869090207,0.012548868312757202,0.6409038116355189,0.313,10.857244197499169,4.634716701548606,0.8016157259258287
aomenc@child@Real-ESRGAN@1.456,0.5429136940390561,0.22872172368421056,0.5937841,0.9651039838790894,0.29475527917513383,0.4187375381266811,0.32237351919265633,0.5239681690196061,0.012561728395061728,0.6662425412425412,0.319,10.820309646863278,4.645196100718743,0.8117432063828038
aomenc@child@RealSR@0.459,0.5102932544728651,0.22074064473684213,0.5457864,0.9624820351600647,0.2603992055605083,0.39765079247566343,0.27851111830302894,0.491148090093496,0.010279492455418381,0.6635206758320106,0.269,11.096189030652049,4.520630505472559,2.0067014065087916
aomenc@child@RealSR@0.865,0.5371404895564208,0.21345178947368418,0.5509068,0.966242790222168,0.2885199055209114,0.422486890861832,0.2959143482519612,0.5190081253702973,0.011779835390946502,0.609747851810114,0.28,11.197044838010571,4.5392778062926205,2.4799868546082813
aomenc@child@RealSR@1.456,0.5531256116541101,0.21104402631578945,0.563344,0.9680290818214417,0.3059479422677334,0.43639175551224296,0.311599994571673,0.5354416779814515,0.01198559670781893,0.6361945636623748,0.288,11.178114161205148,4.566641449417542,2.684707032533442
aomenc@child@SOF-VSR-BI@0.459,0.48993841492023343,0.24061752631578948,0.5260569,0.9595545530319214,0.2400396504145508,0.37205064547504796,0.25773548374385175,0.47012263674195265,0.010925925925925926,0.6165937670858394,0.265,10.837325528300047,4.511948879818296,1.2239788243595262
aomenc@child@SOF-VSR-BI@0.865,0.5271707828147137,0.22782038157894738,0.5350093,0.9642153978347778,0.27790903425347807,0.40707053391659326,0.28204127149415203,0.5083061860785605,0.011098251028806584,0.6392738509076864,0.281,10.906096973944445,4.545033626403749,1.731099128704236
aomenc@child@SOF-VSR-BI@1.456,0.5484006944406781,0.21988451315789473,0.5433861,0.9668126106262207,0.300743321663018,0.4278158747281382,0.29799331458941175,0.5302007070614243,0.013248456790123457,0.5361458940011649,0.287,10.872367386338606,4.52715684815131,1.877061583325478
aomenc@child@SwinIR@0.459,0.524349951548005,0.23436471052631572,0.58833027,0.9620360732078552,0.2749428716883952,0.4014608269389692,0.3084909485687247,0.5044435683739719,0.01076474622770919,0.6685404227769272,0.287,10.59459669212645,4.6370086229141005,3.060777557604213
aomenc@child@SwinIR@0.865,0.548980047045045,0.22594651315789474,0.5922751,0.9661112427711487,0.3013790920535798,0.4249399196219601,0.32514721226160875,0.5303757955072521,0.014022633744855966,0.5288311628760088,0.293,10.700851711424198,4.674170047848183,3.021850814854382
aomenc@child@SwinIR@1.456,0.5498820008121074,0.22182147368421054,0.5962173,0.967854917049408,0.30237021481712645,0.42790636503954343,0.32784916184279245,0.5322059982829647,0.014483024691358025,0.5051993922532015,0.302,10.712132633636369,4.6746588612238895,3.2470927823266535
aomenc@child@VRT@0.459,0.496210376680642,0.23985238157894734,0.52595884,0.9648885726928711,0.2462247379255446,0.3771931360696035,0.2609862341149135,0.4787877221107766,0.011134259259259259,0.5937475937475938,0.271,10.81531988877244,4.531205665109165,1.1841043156367441
aomenc@child@VRT@0.865,0.5456311826318955,0.22433175000000002,0.53764105,0.9696877598762512,0.29771338746028086,0.42322878457751273,0.293353721942954,0.5290918792049525,0.011460905349794239,0.5591048986919723,0.28,10.905224594449901,4.552558516089012,1.7084617610392452
aomenc@child@VRT@1.456,0.5725172320614264,0.21797717105263156,0.5554476,0.9723827838897705,0.3277759810072771,0.44772154543779363,0.31800332250716234,0.5567058999367556,0.011705246913580247,0.6059657218193804,0.289,10.860410770717609,4.569420221751753,2.2674575968093587
aomenc@child@ahq-11@0.459,0.5281249977447774,0.22408046052631578,0.558863,0.9659967422485352,0.27891601324292115,0.4097825050346682,0.2951495206146395,0.5101670273214699,0.011532921810699589,0.5857427716849452,0.276,11.003077454213614,4.549871889618907,1.9049029818755456
aomenc@child@ahq-11@0.865,0.5512946301949225,0.2169445657894737,0.55211437,0.9701399803161621,0.3039257692817564,0.43169425602521655,0.3043776874344526,0.534832961685708,0.011671810699588477,0.6592756948982538,0.287,11.065531580341544,4.571699589080943,2.1508434275875423
aomenc@child@ahq-11@1.456,0.5720555329793954,0.21302505263157892,0.559783,0.9721878170967102,0.3272475328123401,0.4501933729582738,0.3202269624178049,0.5561454198653335,0.011887860082304526,0.6307315835807755,0.296,11.028409761541509,4.534685657468681,2.149889204570793
aomenc@child@comisr@0.459,0.5114678013437092,0.23448828947368416,0.54688805,0.9553421139717102,0.261599311811368,0.3915345914857567,0.2797156285146485,0.48862673056416184,0.011532921810699589,0.5318559556786704,0.26,10.942007152462422,4.573724076229159,2.1546024266577284
aomenc@child@comisr@0.865,0.5516504367404766,0.2275498684210526,0.55436623,0.9586983323097229,0.30431820435595863,0.42612245244576497,0.30581637289367153,0.5288663537210253,0.011800411522633746,0.5682148424083908,0.268,11.052507041309555,4.592288552147033,2.656271665688098
aomenc@child@comisr@1.456,0.5609648447587114,0.22172426315789467,0.56271183,0.9600955247879028,0.3146815570551652,0.4365853278971034,0.31566155435984045,0.5385798370161795,0.012006172839506174,0.5493552364829561,0.277,11.008219102747518,4.637400937341223,2.5825666341251203
aomenc@child@only_compressed@0.525,0.5391648487948311,0.23269202631578953,0.5300979,0.963960587978363,0.29069873417595304,0.4137054876105155,0.28581015409995747,0.5197336646615306,0.011489197530864198,0.5556941379641178,0.262,10.83495094489722,4.520795336924387,1.4356644184141958
aomenc@child@only_compressed@0.978,0.5847013973064996,0.2201596842105263,0.5368431,0.9695709943771362,0.3418757240121731,0.45597372231804717,0.31389291070435293,0.5669095152001639,0.011931584362139917,0.5155489499778764,0.267,10.843533268212413,4.534048381391345,1.773327183306983
aomenc@child@only_compressed@1.535,0.6096472210888003,0.21255461842105267,0.54780185,0.9719046950340271,0.37166973418129656,0.4800638886388152,0.33396587555980384,0.5925189964906525,0.01220679012345679,0.561760987580873,0.276,10.863367176464376,4.512076896232754,2.1917892256678813
uavs3e@child@BasicVSR@0.535,0.504939560385962,0.24020111842105263,0.52299035,0.9654895067214966,0.2549639596427686,0.3836525132462193,0.2640785174151004,0.48751384708121176,0.010440672153635117,0.6592650198525788,0.291,10.564979996055232,4.799401721182742,1.4809524214635648
uavs3e@child@BasicVSR@0.889,0.5404112039839538,0.2279105657894737,0.5311095,0.9694406390190125,0.29204426939138656,0.41724578072500024,0.2870175243423157,0.523896582923238,0.011761831275720164,0.5972981509828219,0.294,10.616743958782696,4.869243676428955,1.8702245763758798
uavs3e@child@BasicVSR@2.73,0.5903796834568247,0.21365669736842108,0.5530543,0.974145770072937,0.3485481706385805,0.46424111009602564,0.32651202256843576,0.5751158713764652,0.012330246913580247,0.6187552148518982,0.314,10.663090061961883,4.882136934718831,2.1264635016169495
uavs3e@child@RBPN@0.535,0.5064177258118289,0.2385506184210526,0.5134627,0.965884804725647,0.2564589130164247,0.385611464140034,0.2600266128232014,0.48914118620536456,0.013209876543209877,0.5232843137254902,0.285,10.783575224200403,4.4418503961604205,1.3721328817912437
uavs3e@child@RBPN@0.889,0.5412458420658857,0.22642917105263158,0.52458394,0.9697304964065552,0.29294706155360967,0.4186919947112236,0.28392887633954,0.5248625991045353,0.011893004115226338,0.5859243697478992,0.291,10.847826555185927,4.5332216499554905,1.6040394807291423
uavs3e@child@RBPN@2.73,0.592110086643422,0.20749834210526316,0.5489857,0.9744676351547241,0.3505943547048807,0.4692482253211082,0.3250599703929997,0.5769921158826743,0.01216820987654321,0.6426548298456985,0.319,10.899087729240987,4.5309121629188756,2.0888276165955855
uavs3e@child@Real-ESRGAN@0.535,0.5088321489698916,0.2388350131578947,0.5718338,0.9599958658218384,0.25891015582531796,0.3873052159755077,0.29096742130761916,0.48847675940833774,0.01205246913580247,0.6866969844143229,0.308,10.72372990317167,4.550550042435859,0.4001283366094553
uavs3e@child@Real-ESRGAN@0.889,0.534364557441826,0.23332282894736844,0.5881774,0.9631391167640686,0.28554548024999854,0.40968510721029056,0.31430115604828385,0.5146674078845427,0.01253858024691358,0.6506666666666666,0.319,10.789834449182147,4.640696479707601,0.7916260041237305
uavs3e@child@Real-ESRGAN@2.73,0.5360572412529003,0.22426010526315784,0.5902741,0.9664005637168884,0.2873573658996702,0.4158409879024469,0.3164207056290386,0.518046020131323,0.011212277091906721,0.7510797285253994,0.331,10.87171515692439,4.645418189158983,0.6166031961311275
uavs3e@child@RealSR@0.535,0.5189417569910207,0.2198679210526316,0.5403794,0.9636352062225342,0.26930054714892765,0.4048431117340051,0.28042543527775354,0.5000705470155264,0.010548696844993141,0.6626046407672302,0.282,11.079182981284905,4.44020374098555,2.174392760113767
uavs3e@child@RealSR@0.889,0.5362157232815317,0.21376455263157895,0.55525243,0.9663029909133911,0.2875273018943361,0.42159180908023647,0.297735083356278,0.5181468571817314,0.012301954732510289,0.602327688340651,0.285,11.130508158464133,4.518524971440808,2.6195918680544814
uavs3e@child@RealSR@2.73,0.5504528948442868,0.20970224999999998,0.5674648,0.9694191813468933,0.3029983894424555,0.4350216842764265,0.3123626418822342,0.5336195946899761,0.012253086419753086,0.6506413040331219,0.308,11.2200223898223,4.568216296777993,2.870526921167248
uavs3e@child@SOF-VSR-BI@0.535,0.5051144754511413,0.23908748684210526,0.518188,0.9607890248298645,0.25514063331028164,0.38434792494795966,0.261744259805076,0.48530844429615055,0.011008230452674897,0.642227414330218,0.279,10.790900233892065,4.439917523077827,1.3147427218216985
uavs3e@child@SOF-VSR-BI@0.889,0.529614444015522,0.22803409210526318,0.52848136,0.9642714858055115,0.2804914593098705,0.40884429510860876,0.27989136164896694,0.5106921068349073,0.011612654320987655,0.6375889890840057,0.286,10.828789052240527,4.517388173515346,1.6097124117512178
uavs3e@child@SOF-VSR-BI@2.73,0.5707844760078268,0.21169844736842103,0.5537292,0.9687364101409912,0.3257949180515294,0.4499502886549721,0.31606003127223314,0.5529397042520289,0.013636831275720164,0.5259363043595409,0.31,10.904341788952467,4.5004055266486205,2.056066163831146
uavs3e@child@SwinIR@0.535,0.5259935767639631,0.23235499999999995,0.5802246,0.9629307389259338,0.2766692427969471,0.40377633923497247,0.3051944126804398,0.5064953835436179,0.011820987654320988,0.6378508485639687,0.293,10.60342900020848,4.556253583283884,2.8228611281218465
uavs3e@child@SwinIR@0.889,0.5436855573808652,0.2252364342105263,0.5918283,0.9660280346870422,0.29559398530454206,0.42122776110463667,0.3217684991592699,0.5252154904843663,0.012070473251028807,0.6100057014184438,0.303,10.622299087515302,4.6656098075581856,2.9524760138321904
uavs3e@child@SwinIR@2.73,0.5650179130601096,0.21632694736842104,0.6020464,0.9692027568817139,0.3192452420788016,0.4427893127193402,0.34016700049335197,0.5476169190254108,0.012767489711934156,0.6606711177621734,0.315,10.742699285330891,4.681445494378339,3.203077501017649
uavs3e@child@VRT@0.535,0.5111337293950243,0.23719655263157896,0.5187873,0.9659478068351746,0.26125768932526594,0.38989457084880225,0.26516968741177527,0.49372850490860737,0.011340020576131687,0.6023393707675858,0.284,10.78471108452254,4.439387726598361,1.4229318172372614
uavs3e@child@VRT@0.889,0.5524285812065948,0.22306721052631578,0.5272071,0.9697647094726562,0.30517733733393126,0.42919987858182934,0.29124427025504335,0.535725742558205,0.01172067901234568,0.5919141850288503,0.292,10.827115461557288,4.53132968088902,1.819280299636227
uavs3e@child@VRT@2.73,0.5880345582756252,0.20813909210526313,0.5521402,0.9745197892189026,0.34578464172640966,0.4656415791896171,0.32467751861321537,0.5730513137841928,0.012253086419753086,0.6252132932477452,0.311,10.88403542750954,4.526816164086081,2.1973375187150803
uavs3e@child@ahq-11@0.535,0.5257448702864795,0.22288634210526315,0.550868,0.9663753509521484,0.2764076686325472,0.40856351926772005,0.2896160252049724,0.5080668835343884,0.011568930041152264,0.6161391594917607,0.284,10.976596961550683,4.4604175901672,1.7834505623764076
uavs3e@child@ahq-11@0.889,0.5502646377482453,0.21817974999999995,0.5486879,0.9694491624832153,0.3027911715562076,0.43020803665049256,0.3019235485303454,0.5334535922091663,0.011815843621399176,0.6311130460020317,0.293,10.994881833628714,4.536902305645672,2.111044371250421
uavs3e@child@ahq-11@2.73,0.5824975102850809,0.20953955263157895,0.5679987,0.9735990762710571,0.3393033494883179,0.4604412425709365,0.33085782859516255,0.5671190379437454,0.012263374485596707,0.5964651732269182,0.3,11.026713559885675,4.536544096158428,2.3422148360777513
uavs3e@child@comisr@0.535,0.5280631721918057,0.23510207894736845,0.5420318,0.9561749696731567,0.2788507138252726,0.4039144225939699,0.28622703173683434,0.5049207876560107,0.011473765432098765,0.5691345193698927,0.266,10.933741421384203,4.510233516426928,2.315432452920052
uavs3e@child@comisr@0.889,0.5528101357203824,0.22782589473684212,0.54352456,0.9586924314498901,0.3055990461551876,0.4268656719302912,0.3004658857809612,0.5299748931439172,0.011787551440329218,0.5866437345175906,0.276,10.983497817599131,4.576912693291349,2.550679607255654
uavs3e@child@comisr@2.73,0.5729417938070519,0.22006053947368417,0.5669522,0.9614381194114685,0.32826229909084237,0.4468599135748517,0.3248306104708545,0.5508480807700853,0.012489711934156378,0.574981076628523,0.297,11.049712504823813,4.617274298623798,2.854780916116837
uavs3e@child@only_compressed@0.687,0.5724121855202139,0.22610603947368418,0.5340202,0.9679356813430786,0.32765571013202777,0.44298633330576254,0.3056796697939417,0.5540581788005889,0.011684670781893005,0.5854473915914594,0.267,10.856034718342762,4.482985771985427,1.7094417904892152
uavs3e@child@only_compressed@1.258,0.6127870788751236,0.2152456447368421,0.5400493,0.9712459444999695,0.37550800403630696,0.48088732899624154,0.3309352329955553,0.5951669651994468,0.011895576131687242,0.5612622352081812,0.286,10.842322904887142,4.490903979606229,1.9221466892210632
uavs3e@child@only_compressed@2.79,0.6346840155820929,0.2060943552631579,0.5458366,0.9737622737884521,0.4028237996354103,0.5038792225948694,0.3464337651396766,0.6180313501504041,0.012757201646090535,0.5450604838709677,0.295,10.880733432914166,4.502654302342149,1.927584540766505
vvenc@child@BasicVSR@0.552,0.5075939041816169,0.2406472631578947,0.5377475,0.9665991067886353,0.2576515715623365,0.38544282034468014,0.27295735298890406,0.490639814393307,0.01106738683127572,0.620497327445968,0.267,10.493158197782579,4.882272435544571,0.3330102666950691
vvenc@child@BasicVSR@0.826,0.5296834458211558,0.23563222368421055,0.5462246,0.9696332216262817,0.2805645527769733,0.40487295763360176,0.2893261283202825,0.5135986660136773,0.011679526748971193,0.5810928996130493,0.272,10.523962428238976,4.877150301780251,0.8089740182911991
vvenc@child@BasicVSR@1.425,0.574584973234645,0.22538134210526317,0.5524552,0.9722639918327332,0.3301478914670577,0.44508424081350395,0.31743245630534045,0.55864827972422,0.013258744855967078,0.4857419980601358,0.281,10.576787652753556,4.912934150593277,1.0137349671792653
vvenc@child@DBVSR@0.552,0.5001942045631652,0.2364844078947368,0.5314024,0.9606074094772339,0.25019424227857756,0.3819060742646662,0.26580440077095696,0.4804902590809477,0.010959362139917696,0.6061223891105374,0.259,10.739415907454404,4.528154954972255,0.3504442748611785
vvenc@child@DBVSR@0.826,0.5234200068381465,0.2321506447368421,0.54354286,0.9633578062057495,0.2739685035584453,0.4019077147825085,0.28450120749802565,0.5042407495117952,0.011486625514403293,0.583750627637775,0.266,10.77217110596453,4.525015356871382,0.6261024912654816
vvenc@child@DBVSR@1.425,0.5502405879493006,0.22585271052631578,0.5410497,0.9656856656074524,0.30276470462679206,0.42596725971935745,0.2977075050377927,0.5313594484180564,0.013215020576131687,0.5066606115652437,0.273,10.82397852611717,4.574615256579094,0.8098177231842982
vvenc@child@LGFN@0.552,0.4883325855655814,0.23962627631578948,0.52674884,0.9605363607406616,0.23846871412516588,0.37131526648283947,0.25722862298087074,0.4690612045702413,0.010843621399176955,0.5859967979127134,0.259,10.75046050268015,4.55294041335165,0.4029196965163065
vvenc@child@LGFN@0.826,0.5240993697717325,0.23425435526315788,0.5329005,0.9634081721305847,0.27468014939512725,0.40132680981202795,0.2792928162010412,0.5049216158465762,0.011054526748971193,0.5749651000465332,0.264,10.764325251268037,4.531261116735553,0.5328740507301462
vvenc@child@LGFN@1.425,0.5487829436905339,0.22478903947368423,0.5448076,0.9658625721931458,0.30116271928564775,0.4254225528987979,0.2989811184729749,0.5300489055686654,0.011270576131687244,0.5953231132708674,0.271,10.836676817934151,4.561741450597974,0.7367111162074722
